Table ID,Table Label,Data Type,Category,Confidence,Record Family,Is Custom
resourceAllocationType,Allocation Type,Setup Data,Locations,high,OTHER,No
CUSTOMRECORD_10782_CNTRYFMTS_BY_EDITION,Allowed Country Formats By Edition,Transaction Data,Inventory,medium,CUSTOM,Yes
AllParserPlugin,All Parser Plug-in,System Data,Other System,low,OTHER,No
AmortizationSchedule,Amortization Schedule,System Data,Other System,low,OTHER,No
AmortizationTemplate,Amortization Template,System Data,Other System,low,OTHER,No
AnnualRecurringRevenue,Annual Recurring Revenue,System Data,Other System,low,OTHER,No
CUSTOMLIST_BF_API_TYPES,API Types,Customizations,Custom Lists,high,CUSTOMLIST,No
scriptVersion,API Version,Customizations,Scripts,high,OTHER,No
TransactionAppliedRulesLog,Applied Rules,Setup Data,Sales,high,OTHER,No
applyDiscountTo,Apply Discount To,Transaction Data,Inventory,medium,OTHER,No
CUSTOMRECORD_SAS_APPROVAL_HISTORY,Approval History,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMLIST_2663_APPROVAL_LEVEL,Approval Level,Customizations,Custom Lists,high,CUSTOMLIST,No
CUSTOMRECORD_SAS_APPROVALMATRIX,Approval Matrix,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMLIST_SAS_APPROVALMATRIX_APPTYPE,Approval Matrix Approval Type,Customizations,Custom Lists,high,CUSTOMLIST,No
CUSTOMRECORD_SAS_APPROVAL_PREFERENCES,Approval Preference,Setup Data,Company,high,CUSTOM,Yes
CUSTOMRECORD_2663_APPROVAL_ROUTING,Approval Routing,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_SAS_APPROVALRULE,Approval Rule,Setup Data,Sales,high,CUSTOM,Yes
CUSTOMRECORD_SAS_EMAIL_TEMPLATES,Approval Rule Email Templates,Setup Data,Sales,high,CUSTOM,Yes
CUSTOMRECORD_SAS_SS_EXP_APPRULE,Approval Rule Saved Search Exceptions,Setup Data,Sales,high,CUSTOM,Yes
ApprovalStatus,Approval Status,System Data,Workflow,high,OTHER,No
timeLineApprovalStatus,Approval Status,Transaction Data,Employees,medium,OTHER,No
CUSTOMLIST_2663_APPROVAL_TYPE,Approval Type,Customizations,Custom Lists,high,CUSTOMLIST,No
CUSTOMLIST_ATLAS_APPR_BY_CREATOR,Approved by Creator,Customizations,Custom Lists,high,CUSTOMLIST,No
AreaOfFocus,Area of Focus,System Data,Other System,low,OTHER,No
asChargedProjectRevenueRule,As Charged Project Revenue Rule,Setup Data,Sales,high,OTHER,No
assemblyItem,Assembly/Bill of Materials,List Data,Items,high,ITEM,No
assemblyBuild,Assembly Build,List Data,Items,high,TRANSACTION,No
assemblyUnbuild,Assembly Unbuild,List Data,Items,high,TRANSACTION,No
ATPMethodType,ATP Method,Customizations,Custom Objects,medium,OTHER,No
UsrDsAuditLog,Audit Trail,System Data,Audit,high,OTHER,No
UsrAuditLog,Audit Trail,System Data,Audit,high,OTHER,No
AutomatedClearingHouse,Automated Clearing House,System Data,Other System,low,OTHER,No
locAssignConf,Automatic Location Assignment Configuration,Setup Data,Company,high,OTHER,No
locAssignRule,Automatic Location Assignment Rule,Setup Data,Locations,high,OTHER,No
CUSTOMRECORD_AVAADDVALFLAG,AVAADDRESSVALFLAG,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_AVAADDRESSVALIDATIONBATCH,AVAADDRESSVALIDATIONBATCH,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_AVAADDVALIDATIONBATCHRECORD,AVAADDVALIDATIONBATCHRECORDS,List Data,Employees,high,CUSTOM,Yes
CUSTOMRECORD_AVACERTCAPTUREBATCH,AVACERTCAPTUREBATCH,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_AVACERTEMAIL,AVACERTEMAIL,List Data,Communications,high,CUSTOM,Yes
CUSTOMRECORD_AVACONFIG,AVACONFIG,Setup Data,Company,high,CUSTOM,Yes
CUSTOMRECORD_AVACOORDINATES,AVACOORDINATES,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_AVACUSTOMEREXEMPTMAPPING,AVACUSTOMEREXEMPTMAPPING,List Data,Relationships,high,CUSTOM,Yes
CUSTOMRECORD_AVACUSTOMERSTOCERTCAPTURE,AVACUSTOMERSTOCERTCAPTURE,List Data,Relationships,high,CUSTOM,Yes
CUSTOMRECORD_AVADELETEOLDRECORD,AVADELETEOLDRECORDBATCH,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_AVAENTITYUSECODES,AVAENTITYUSECODES,List Data,Relationships,high,CUSTOM,Yes
CUSTOMRECORD_AVAENTITYUSEMAPPING,AVAENTITYUSEMAPPING,List Data,Relationships,high,CUSTOM,Yes
CUSTOMRECORD_AVAIMSBATCH,AVAIMSBATCH,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_AVAIMSDETAILS,AVAIMSDETAILS,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_AVAITEMMAPPING,AVAITEMMAPPING,List Data,Items,high,CUSTOM,Yes
CUSTOMLIST_AVA_SEZ_PARAMETER,Avalara SEZ Parameter,Customizations,Custom Lists,high,CUSTOMLIST,No
CUSTOMLIST_AVA_STATUSLIST,Avalara Status List,Customizations,Custom Lists,high,CUSTOMLIST,No
CUSTOMLIST_AVA_EWASTE_TIRETYPE,Avalara Tire Type List,Customizations,Custom Lists,high,CUSTOMLIST,No
CUSTOMLIST_AVA_TRANSPORTLIST,Avalara Transport List,Transaction Data,Purchases,high,CUSTOMLIST,No
CUSTOMLIST_AVA_UNITOFMEASURE,Avalara UOM (RentalLeasing),Customizations,Custom Lists,high,CUSTOMLIST,No
CUSTOMLIST_AVA_EWASTE_UOM_VOLTAGE,Avalara UOM Voltage (E-Waste),Customizations,Custom Lists,high,CUSTOMLIST,No
CUSTOMLIST_AVA_MULTITAXTYPE_PARAM,Ava Multi Tax Type,Customizations,Custom Lists,high,CUSTOMLIST,No
CUSTOMRECORD_AVARECALCULATEBATCH,AVARECALCULATEBATCH,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_AVARECONCILEBATCH,AVARECONCILEBATCH,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_AVARECONCILEBATCHRECORDS,AVARECONCILEBATCHRECORDS,List Data,Employees,high,CUSTOM,Yes
CUSTOMRECORD_AVASHIPPINGCODES,AVASHIPPINGCODES,Transaction Data,Order Management,high,CUSTOM,Yes
CUSTOMRECORD_AVASHIPPINGITEMCODES,AVASHIPPINGITEMCODES,List Data,Items,high,CUSTOM,Yes
CUSTOMRECORD_AVASUBSIDIARIES,AVASUBSIDIARIES,Setup Data,Subsidiaries,high,CUSTOM,Yes
CUSTOMRECORD_AVATAXHEADERDETAILS,AVATAXHEADERDETAILS,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_AVATRANSACTIONLOGS,AVATRANSACTIONLOGS,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_AVATWOWAYIMSBATCH,AVATWOWAYIMSBATCH,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_AVATWOWAYIMSDETAILS,AVATWOWAYIMSDETAILS,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMLIST_AVA_EWASTE_UOM_CONTAINERSIZ,Ava UOM Container Size (EWst),Customizations,Custom Lists,high,CUSTOMLIST,No
CUSTOMLIST_AVA_EWASTE_UOM_NETWEIGHT,Ava UOM Net Weight (E-Waste),Customizations,Custom Lists,high,CUSTOMLIST,No
CUSTOMLIST_AVA_EWASTE_UOM_PACKSIZE,Ava UOM Pack Size (E-Waste),Customizations,Custom Lists,high,CUSTOMLIST,No
CUSTOMLIST_AVA_EWASTE_UOM_RIMDIAMETER,Ava UOM Rim Diameter (E-Waste),Customizations,Custom Lists,high,CUSTOMLIST,No
CUSTOMLIST_AVA_EWASTE_UOM_SCREENSIZE,Ava UOM Screen Size (E-waste),Customizations,Custom Lists,high,CUSTOMLIST,No
CUSTOMLIST_AVA_EWASTE_UOM_TREADWIDTH,Ava UOM Tread Width (E-Waste),Customizations,Custom Lists,high,CUSTOMLIST,No
CUSTOMRECORD_AVAUSETAXHEADERDETAILS,AVAUSETAXHEADERDETAILS,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_VATADDRESSES,AVAVATADDRESSES,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_VENDORVATADDRESSES,AVAVENDORVATADDRESSES,List Data,Relationships,high,CUSTOM,Yes
BalancedBySegmentsStatus,Balanced by Segments,System Data,Other System,low,OTHER,No
balancingJournal,Balancing Journal,Transaction Data,Bank,medium,TRANSACTION,No
BalancingSegmentsPreference,Balancing Segments Elimination Value Preference,Setup Data,Company,high,OTHER,No
CUSTOMLIST_2663_BANK_ACCT_TYPE,Bank Account Type,Setup Data,Accounting,high,CUSTOMLIST,No
bankConnectivityPlugin,Bank Connectivity Plug-in,Transaction Data,Bank,high,OTHER,No
CUSTOMRECORD_2663_ENTITY_BANK_DETAILS,Bank Details,List Data,Relationships,high,CUSTOM,Yes
CUSTOMLIST_2663_BANK_FEE_CODE,Bank Fee Code,Transaction Data,Bank,high,CUSTOMLIST,No
CUSTOMRECORD_BF_AUDITTRAIL,Bank Feeds Audit Trail,Transaction Data,Bank,high,CUSTOM,Yes
bankStatementParserPlugin,Bank Statement Parser Plug-in,Transaction Data,Bank,high,OTHER,No
CUSTOMRECORD_2663_BATCH_DETAILS,Batch Details,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_2663_BATCH_TRANSACTION_INFO,Batch Transaction Information,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMLIST_AVA_BOTTLETAX_BEVCONTMAT,Beverage Container Material,Customizations,Custom Lists,high,CUSTOMLIST,No
CUSTOMRECORD_BF_SE_CUSTOMER_ID,BF SE Customer ID,List Data,Relationships,high,CUSTOM,Yes
CUSTOMRECORD_BF_SE_EXCLUDED_ACCOUNTS,BF SE Excluded Accounts,Setup Data,Accounting,high,CUSTOM,Yes
CUSTOMRECORD_BF_SE_NEXT_TRANSACTION_ID,BF SE Next Transaction ID,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_BF_YDL_ACCEPT,BF Yodlee Terms Acceptance,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMLIST_BG_PROCESSLOGMSGTYPE,BG Log Message Type,List Data,Communications,high,CUSTOMLIST,No
CUSTOMLIST_BG_PROCESSACTIVITY,BG Process Activity Type,List Data,Activities,high,CUSTOMLIST,No
CUSTOMRECORD_BG_PROCINSTANCE,BG Process Instance,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_BG_PROCLOG,BG Process Log,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMLIST_BG_PROCESSSTATUS,BG Process Status,Customizations,Custom Lists,high,CUSTOMLIST,No
CUSTOMRECORD_BG_QUEUEINSTANCE,BG Queue Instance,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_BG_SUMMARYRECORD,BG Summary Records,Customizations,Custom Records,high,CUSTOM,Yes
vendorBill,Bill,List Data,Relationships,high,TRANSACTION,No
VendorCredit,Bill Credit,List Data,Relationships,high,TRANSACTION,No
CUSTOMRECORD_2663_BILL_EFT_DETAILS,Bill EFT Details,Transaction Data,Payables,high,CUSTOM,Yes
CUSTOMRECORD_2663_BILL_EFT_PAYMENT,Bill EFT Payment Information,List Data,Payment Instruments,medium,CUSTOM,Yes
BillInboundShipment,Bill Inbound Shipment,Transaction Data,Payables,high,OTHER,No
billingAccount,Billing Account,Setup Data,Accounting,high,OTHER,No
BillingAccountBillCycle,Billing Account Billing Schedule,Setup Data,Accounting,high,OTHER,No
BillingClass,Billing Class,Setup Data,Classifications,high,OTHER,No
Chargebillingmodetype,Billing Mode,Transaction Data,Payables,high,OTHER,No
BillRun,Billing Operations,Transaction Data,Payables,high,OTHER,No
BillRunSchedule,Billing Operation Schedules,Transaction Data,Payables,high,OTHER,No
BillingRateCard,Billing Rate Card,List Data,Payment Instruments,medium,OTHER,No
billingSchedule,Billing Schedule,Transaction Data,Payables,high,OTHER,No
BillingScheduleType,Billing Schedule Type,Transaction Data,Payables,high,OTHER,No
CUSTOMLIST_2663_BILLING_TYPE,Billing Type,Transaction Data,Payables,high,CUSTOMLIST,No
CUSTOMRECORD_PACKSHIP_3RD_PARTY_TYPES,Billing Type (2),Transaction Data,Payables,high,CUSTOM,Yes
billOfDistribution,Bill Of Distribution,Transaction Data,Payables,high,OTHER,No
bom,Bill of Materials,Transaction Data,Payables,high,OTHER,No
bomRevision,Bill of Materials Revision,Transaction Data,Payables,high,OTHER,No
BomRevisionComponent,Bill of Materials Revision Component,Transaction Data,Purchases,high,OTHER,No
BillVarianceStatus,Bill Variance Status,Transaction Data,Payables,high,OTHER,No
bin,Bin,Transaction Data,Inventory,medium,OTHER,No
binWorksheet,Bin Put-Away Worksheet,Transaction Data,Bank,medium,TRANSACTION,No
binTransfer,Bin Transfer,Transaction Data,Bank,high,TRANSACTION,No
binType,Bin Type,Transaction Data,Inventory,medium,OTHER,No
BlanketPurchaseOrder,Blanket Purchase Order,Transaction Data,Bank,medium,TRANSACTION,No
Bonus,Bonus,System Data,Other System,low,OTHER,No
BonusType,Bonus Type,Customizations,Custom Objects,medium,OTHER,No
commerceSearchBoost,Boost,System Data,Other System,low,OTHER,No
commerceSearchBoostType,Boost Type,Customizations,Custom Objects,medium,OTHER,No
budgets,Budget,Setup Data,Accounting,high,OTHER,No
budgetcategory,Budget Category,Setup Data,Accounting,high,OTHER,No
CUSTOMRECORD_MEYER_CUSTOMBUDGET,Budget Custom,Setup Data,Accounting,high,CUSTOM,Yes
budgetExchangeRate,Budget Exchange Rate,Setup Data,Accounting,high,OTHER,No
budgetimport,Budget Import,Setup Data,Accounting,high,OTHER,No
budgetLegacy,Budget Legacy,Setup Data,Accounting,high,OTHER,No
CUSTOMRECORD_NS_REQ_BUG_RESOLUT_STATUSES,Bug Resolution Statuses,Transaction Data,Sales,high,CUSTOM,Yes
CUSTOMRECORD_NS_REQ_BUG_SEVERITIES,Bug Severities,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_NS_IBE_BUG_STATUSES,Bug Statuses,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMLIST_EB_ITEM_BUILDERS,Builder,List Data,Items,high,CUSTOMLIST,No
BulkProcessingResultType,Bulk Processing Result Type,Customizations,Custom Objects,medium,OTHER,No
BulkProcessingStatus,Bulk Processing Status,System Data,Other System,low,OTHER,No
BulkProcSubmission,Bulk Processing Submission,System Data,Other System,low,OTHER,No
BulkProcessingType,Bulk Processing Type,Customizations,Custom Objects,medium,OTHER,No
bundleInstallationScript,Bundle Installation Script,Customizations,Scripts,high,OTHER,No
bundleInstallationScriptDeployment,Bundle Installation Script Deployment,Customizations,Scripts,high,OTHER,No
BusinessEventHandlerFeedDetailType,Business Event Handler Feed Detail Type,List Data,Activities,high,OTHER,No
BusinessEventHandler,Business Events Handler,List Data,Activities,high,OTHER,No
BusinessEventHandlerFeedStatus,Business Events Handler Feed Status,List Data,Activities,high,OTHER,No
BusinessEventsProcessingHistory,Business Events Processing,List Data,Activities,high,OTHER,No
BusinessEventType,Business Event Type,List Data,Activities,high,OTHER,No
buyingReason,Buying Reason,Transaction Data,Sales,high,OTHER,No
buyingTimeFrame,Buying Time Frame,Transaction Data,Employees,medium,OTHER,No
overallQuantityPricingType,Calculate Quantity Discounts,Transaction Data,Inventory,medium,OTHER,No
CalculateDiscountType,Calculate Quantity Discounts,Transaction Data,Inventory,medium,OTHER,No
GenericCampaign,Campaign,List Data,Activities,medium,EVENT,No
SearchCampaign,Campaign,List Data,Activities,medium,EVENT,No
CampaignAnalytic,Campaign Analytics,System Data,Other System,low,OTHER,No
CampaignAudience,Campaign Audience,Setup Data,Marketing,high,OTHER,No
CampaignCategory,Campaign Category,Setup Data,Marketing,high,OTHER,No
CampaignChannel,Campaign Channel,Setup Data,Marketing,high,OTHER,No
CampaignEmailAddress,Campaign Email Address,List Data,Communications,high,OTHER,No
CampaignTemplate,Campaign Email Template,List Data,Communications,high,OTHER,No
CampaignEvent,Campaign Event,List Data,Activities,high,OTHER,No
GenericCampaignEvent,Campaign Event,List Data,Activities,high,OTHER,No
CampaignEventType,Campaign event type,List Data,Activities,high,OTHER,No
CampaignFamily,Campaign Family,Setup Data,Marketing,high,OTHER,No
CampaignOffer,Campaign Offer,Setup Data,Marketing,high,OTHER,No
CampaignResponse,Campaign Response,Transaction Data,Purchases,high,OTHER,No
CampaignSearchEngine,Campaign Search Engine,Setup Data,Marketing,high,OTHER,No
CampaignSubscription,Campaign Subscription,Customizations,Scripts,high,OTHER,No
CampaignVertical,Campaign Vertical,Setup Data,Marketing,high,OTHER,No
paymentCardBrand,Card Brand,List Data,Payment Instruments,high,OTHER,No
cardholderAuthentication,Cardholder Authentication,List Data,Payment Instruments,medium,OTHER,No
CardholderAuthenticationEvent,Cardholder Authentication Event,List Data,Activities,high,OTHER,No
CardholderAuthenticationStatus,Cardholder Authentication Status,List Data,Payment Instruments,medium,OTHER,No
CUSTOMRECORD_PAYMENT_TERMS,Carrier Payment Terms,List Data,Payment Instruments,medium,CUSTOM,Yes
CUSTOMLIST_CARRIER_SERVICE_LIST,Carrier Services,List Data,Items,high,CUSTOMLIST,No
CartSortOrder,Cart Sort Order,Transaction Data,Sales,high,OTHER,No
supportCase,Case,List Data,Activities,medium,EVENT,No
supportCaseIssue,Case Issue,Transaction Data,Purchases,high,OTHER,No
supportCaseOrigin,Case Origin,Transaction Data,Purchases,high,OTHER,No
supportCasePriority,Case Priority,Transaction Data,Purchases,high,OTHER,No
caseProfile,Case Profile,System Data,Other System,low,OTHER,No
supportCaseStatus,Case Status,Transaction Data,Purchases,high,OTHER,No
supportTerritory,Case Territory,Setup Data,Sales,high,OTHER,No
supportCaseType,Case Type,Transaction Data,Purchases,high,OTHER,No
cashRefund,Cash Refund,List Data,Employees,high,TRANSACTION,No
CashSale,Cash Sale,Transaction Data,Bank,medium,TRANSACTION,No
SiteCategoryType,Category Name,Setup Data,Marketing,high,OTHER,No
CUSTOMRECORD_CELIGO_BATCH_DATA_FLOW,Celigo Batch Data Flow,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_CELLIGO_BATCH_DATA_FLOW_LIB,Celigo Batch Data Flow Library,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMLIST_CELIGO_BACTH_DATA_FLOW_TYPE,Celigo Batch Data Flow Type,Customizations,Custom Lists,high,CUSTOMLIST,No
CUSTOMLIST_CELIGO_BACTH_DATA_FLOW_VERS,Celigo Batch Data Flow Version,Customizations,Custom Lists,high,CUSTOMLIST,No
CUSTOMRECORD_CELIGO_CLOSURES,Celigo Closures,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_CELIGO_CONNECTION,Celigo Connection,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_CELIGO_CONNECTION_TYPE,Celigo Connection Type,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_CELIGO_CUSTOM_LOGIC_BS,Celigo Custom Logic - BS,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_CELIGO_DATA_TRANS,Celigo Data Transports,Transaction Data,Purchases,high,CUSTOM,Yes
CUSTOMRECORD_CELIGO_DEBUG_ENABLEMENT,Celigo Debugging Enablement,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_CELIGO_ENUM_CONT,Celigo Enum Container,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_CELIGO_ENVIRONMENT,Celigo Environment,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_CELIGO_RT2_ENVIRONMENT,Celigo Environment 2,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_CELIGO_EXPORT_LOOKUP,Celigo Export Lookup,Transaction Data,Purchases,high,CUSTOM,Yes
CUSTOMLIST_CELIGO_EXTERNAL_DATA_TYPES,Celigo External Data Types,Customizations,Custom Lists,high,CUSTOMLIST,No
CUSTOMLIST_CELIGO_FIELD_TYPES,Celigo Field Types,Customizations,Custom Lists,high,CUSTOMLIST,No
CUSTOMRECORD_CELIGO_RAKUTEN_REC_REPORT,Celigo Flow Response Log,Transaction Data,Purchases,high,CUSTOM,Yes
CUSTOMRECORD_CELIGO_GLOBAL_CACHE,Celigo Global Cache,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_CELIGO_GLOBAL_PARAMS,Celigo Global Parameters,Customizations,Custom Records,high,CUSTOM,Yes
CUSTOMRECORD_CELIGO_IMPORT_LOOKUP,Celigo Import Lookup,Transaction Data,Purchases,high,CUSTOM,Yes
